"sf__Id","sf__Created",Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0032A00002az2CqQAI","false","0032A00002az2CqQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2CrQAI","false","0032A00002az2CrQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2DHQAY","false","0032A00002az2DHQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2DIQAY","false","0032A00002az2DIQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2DXQAY","false","0032A00002az2DXQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2DYQAY","false","0032A00002az2DYQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2DkQAI","false","0032A00002az2DkQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2ErQAI","false","0032A00002az2ErQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2EyQAI","false","0032A00002az2EyQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2F2QAI","false","0032A00002az2F2QAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2FFQAY","false","0032A00002az2FFQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2FNQAY","false","0032A00002az2FNQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2FZQAY","false","0032A00002az2FZQAY","Delete","No Email or Phone","false","Not Synced"
"0032A00002az2FeQAI","false","0032A00002az2FeQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2FqQAI","false","0032A00002az2FqQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2FrQAI","false","0032A00002az2FrQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az2GAQAY","false","0032A00002az2GAQAY","Archive","Old Inactive Contact","false","Not Synced"
