Id,Clean_Status__c,Delete_Reason__c
0032A00002az3DTQAY,Delete,No Activity 3+ Years
0032A00002az3DUQAY,OK,
0032A00002az3DVQAY,Archive,Old Inactive Contact
0032A00002az3DWQAY,Delete,No Activity 3+ Years
0032A00002az3DXQAY,Delete,No Activity 3+ Years
0032A00002az3DYQAY,Archive,Old Inactive Contact
0032A00002az3DZQAY,Delete,No Activity 3+ Years
0032A00002az3DaQAI,Delete,No Activity 3+ Years
0032A00002az3DbQAI,Delete,No Activity 3+ Years
0032A00002az3DdQAI,Delete,No Activity 3+ Years
0032A00002az3DeQAI,Delete,No Activity 3+ Years
0032A00002az3DfQAI,Duplicate,Master: 0032A00002Z0QtfQAF
0032A00002az3DgQAI,Delete,No Activity 3+ Years
0032A00002az3DmQAI,Delete,No Activity 3+ Years
0032A00002az3DnQAI,Archive,Old Inactive Contact
0032A00002az3DoQAI,Archive,Old Inactive Contact
0032A00002az3DpQAI,Delete,No Activity 3+ Years
0032A00002az3DqQAI,Duplicate,Master: 003Rh00000EquiBIAR
0032A00002az3DrQAI,Archive,Old Inactive Contact
0032A00002az3DsQAI,Duplicate,Master: 0032A00002az1pOQAQ
0032A00002az3DtQAI,Delete,No Activity 3+ Years
0032A00002az3DuQAI,Duplicate,Master: 0032A00002aznqLQAQ
0032A00002az3DvQAI,Delete,No Activity 3+ Years
0032A00002az3DwQAI,Delete,No Activity 3+ Years
0032A00002az3DxQAI,Delete,No Activity 3+ Years
0032A00002az3DyQAI,Archive,Old Inactive Contact
0032A00002az3DzQAI,Archive,Old Inactive Contact
0032A00002az3E0QAI,Delete,No Activity 3+ Years
0032A00002az3E1QAI,Duplicate,Master: 0032A00002vaKcLQAU
0032A00002az3E2QAI,Duplicate,Master: 0033j00004B1tQdAAJ
0032A00002az3E3QAI,Delete,No Activity 3+ Years
0032A00002az3E4QAI,Archive,Old Inactive Contact
0032A00002az3E5QAI,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az3E6QAI,Archive,Old Inactive Contact
0032A00002az3E7QAI,Delete,No Activity 3+ Years
0032A00002az3E8QAI,Delete,No Activity 3+ Years
0032A00002az3E9QAI,Archive,Old Inactive Contact
0032A00002az3EAQAY,Delete,No Activity 3+ Years
0032A00002az3EBQAY,Duplicate,Master: 0032A00002az1OWQAY
0032A00002az3ECQAY,Delete,No Activity 3+ Years
0032A00002az3EDQAY,Archive,Old Inactive Contact
0032A00002az3EEQAY,Archive,Old Inactive Contact
